"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account — pick a different ledger or unmap the other Plaid account first.",,
"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account.",,
"""${0}"" is the last sub-account still receiving automatic imports under ${1}. Disconnecting it removes the whole institution from Plaid and stops all feeds for this bank until you connect it again. Your ledger accounts and history stay in the books.",,
${0},,
"${0} ${1} already exists.","${0} ${1} ja existeix.",
"${0} ${1} does not exist",,
"${0} ${1} has been modified after loading please reload entry.",,
"${0} ${1} is linked with existing records.","${0} ${1} té relació amb un registre que ja existeix.",
"${0} account not set in Inventory Settings.",,
"${0} account(s) could not be deleted:",,
"${0} already applied.",,
"${0} already saved",,
"${0} already submitted",,
"${0} before ${1}",,
"${0} cancelled",,
"${0} cannot be cancelled",,
"${0} cannot be deleted",,
"${0} deleted",,
"${0} duplicate(s) skipped.",,
"${0} entries failed",,
"${0} entries imported",,
"${0} entry failed",,
"${0} entry imported",,
"${0} fields selected",,
"${0} filters applied","${0} filtres aplicats",
"${0} of type ${1} does not exist",,
"${0} only has ${1} points",,
"${0} only has ${1} points (${2} will be earned from this transaction)",,
"${0} out of ${1}",,
"${0} party ${1} is different from ${2}",,
"${0} pending at bank",,
"${0} quantity ${1} added.",,
"${0} quantity 1 added.",,
"${0} row added.",,
"${0} row(s) will be marked as possible duplicates.",,
"${0} row(s) with invalid dates skipped.",,
"${0} rows",,
"${0} rows added.",,
"${0} saved",,
"${0} shortcuts",,
"${0} stored at ${1}",,
"${0} submitted",,
"${0} transaction(s) ready to import.",,
"${0} value ${1} does not exist.",,
"${0} — already mapped to ${1}",,
"${0}: ${1}",,
"${0}: delete failed",,
"${0}: has transactions or other links",,
"${0}: still has child accounts that could not be deleted",,
"(no description)",,
"+ Add Manual Bank",,
0%,,
0.00,,
03-23-2022,,
03/23/2022,,
"1 filter applied","1 filtre aplicat",
1–30,,
2022-03-23,,
"23 Mar, 2022",,
23-03-2022,,
23.03.2022,,
23/03/2022,,
31–60,,
61–90,,
91+,,
9888900000,,
"A submittable entry is deleted only if it is in the cancelled state.",,
"API Base URL",,
Account,Compte,
"Account ${0} does not exist.",,
"Account Deleted",,
"Account Entries","Moviments del compte",
"Account Name","Nom del compte",
"Account Type","Tipus de compte",
"Account archived and bank institution disconnected from Plaid.",,
"Account archived.",,
"Account archived. Other accounts at this bank may keep syncing.",,
"Account deleted and bank institution disconnected from Plaid.",,
"Account deleted.",,
"Account deleted. Other accounts at this bank may keep syncing.",,
"Account name",,
"Account not found.",,
Accounting,,
"Accounting Entries",,
"Accounting Ledger Entry",,
"Accounting Settings","Ajustaments de comptabilitat",
Accounts,Accounts,
"Accounts Payable","Comptes per pagaments",
"Accounts Payable Aging",,
"Accounts Payable Aging (invoice date)",,
"Accounts Receivable","Comptes d’entrada",
"Accounts Receivable Aging",,
"Accounts Receivable Aging (invoice date)",,
"Accounts that still have transactions or other links will be kept. If any remain, the group itself may not be deleted.",,
"Accumulated Depreciation","Accumulated Depreciation",
"Ack failed",,
"Ack pending",,
Action,,
Actions,,
Active,,
Add,,
"Add Account","Afegir compte",
"Add Customers","Afegir clients",
"Add Group","Afegir grup",
"Add Items","Afegir ítems",
"Add Row","Afegir columna",
"Add Suppliers","Afegir proveïdor",
"Add Taxes","Afegir taxes",
"Add a few customers to create your first sales invoice",,
"Add a few suppliers to create your first purchase invoice",,
"Add a filter","Afegir un filtre",
"Add a missing transaction",,
"Add a remark",,
"Add attachment",,
"Add invoice terms",,
"Add products or services that you buy from your suppliers","Afegeix productes o serveis que compris a proveïdors",
"Add products or services that you sell to your customers","Afegeix productes o serveis que venguis a clients",
"Add quote terms",,
"Add transfer terms",,
"Add'l Discounts",,
"Added to ledger as ${0}.",,
"Added to ledger.",,
"Additional ${0} Serial Numbers required for ${1} quantity of ${2}.",,
"Additional quantity (${0}) required${1} to make outward transfer of item ${2} from ${3} on ${4}",,
Address,Direcció,
"Address Display","Mostrar direcció",
"Address Line 1","Direcció línea 1",
"Address Line 2","Direcció línea 2",
"Address Name",,
"Adjust interface size in 10% steps",,
"Administrative Expenses","Despeses administratives",
Alert,,
All,,
"Allow to bypass filters",,
Amount,Quantitat,
"Amount (bank)",,
"Amount Paid",,
"Amount must be greater than 0.",,
"Amount: ${0} and writeoff: ${1} is less than the total amount allocated to references: ${2}.","Quantitat: ${0} i quantitat cancel·lada: ${1} és menor que la quantitat total que figura a les referències: ${2}.",
"Amount: ${0} is less than the total amount allocated to references: ${1}.","Quantitat: ${0} és menor que la quantitat total que figura a les referències: ${1}.",
Amounts,,
"An account with this name already exists.",,
"An entry is cancelled only if it is in the submitted state.",,
