"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account — pick a different ledger or unmap the other Plaid account first.",,
"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account.",,
"""${0}"" is the last sub-account still receiving automatic imports under ${1}. Disconnecting it removes the whole institution from Plaid and stops all feeds for this bank until you connect it again. Your ledger accounts and history stay in the books.",,
${0},,
"${0} ${1} already exists.","${0} ${1} já existe.",
"${0} ${1} does not exist","${0} ${1} não existe",
"${0} ${1} has been modified after loading please reload entry.","${0} ${1} foi modificado após o carregamento. Por favor, recarregue o registro",
"${0} ${1} is linked with existing records.","${0} ${1} está ligado aos registos existentes.",
"${0} account not set in Inventory Settings.","A conta ${0} não foi definida nas Configurações de Inventário",
"${0} account(s) could not be deleted:",,
"${0} already applied.",,
"${0} already saved","${0} já foi salvo",
"${0} already submitted","${0} já foi enviado",
"${0} before ${1}",,
"${0} cancelled","${0} cancelado",
"${0} cannot be cancelled","${0} não pode ser cancelado",
"${0} cannot be deleted","${0} não pode ser deletado",
"${0} deleted","${0} deletado",
"${0} duplicate(s) skipped.",,
"${0} entries failed","${0} entradas falharam",
"${0} entries imported","${0} entradas importados",
"${0} entry failed","Falha na entrada de ${0}",
"${0} entry imported","Entrada ${0} importada",
"${0} fields selected","${0} campos selecionados",
"${0} filters applied","${0} filtros aplicados",
"${0} of type ${1} does not exist","${0} do tipo ${1} não existe",
"${0} only has ${1} points",,
"${0} only has ${1} points (${2} will be earned from this transaction)",,
"${0} out of ${1}","${0} de ${1}",
"${0} party ${1} is different from ${2}","O contato ${0} ${1} é diferente do ${2}",
"${0} pending at bank",,
"${0} quantity ${1} added.",,
"${0} quantity 1 added.","1 qtd adicionada para ${0}.",
"${0} row added.","${0} linha(s) adicionada(s).",
"${0} row(s) will be marked as possible duplicates.",,
"${0} row(s) with invalid dates skipped.",,
"${0} rows","${0} linhas",
"${0} rows added.","${0} linhas adicionadas",
"${0} saved","${0} salvos",
"${0} shortcuts","${0} atalhos",
"${0} stored at ${1}","${0} armazenado em ${1}",
"${0} submitted","${0} enviado",
"${0} transaction(s) ready to import.",,
"${0} value ${1} does not exist.","O valor ${0} para ${0} não existe.",
"${0} — already mapped to ${1}",,
"${0}: ${1}",,
"${0}: delete failed",,
"${0}: has transactions or other links",,
"${0}: still has child accounts that could not be deleted",,
"(no description)",,
"+ Add Manual Bank",,
0%,,
0.00,,
03-23-2022,,
03/23/2022,,
"1 filter applied","1 filtro aplicado",
1–30,,
2022-03-23,,
"23 Mar, 2022","23 de Março de 2022",
23-03-2022,,
23.03.2022,,
23/03/2022,,
31–60,,
61–90,,
91+,,
9888900000,,
"A submittable entry is deleted only if it is in the cancelled state.","Uma entrada submissível só pode ser deletada se estiver cancelada.",
"API Base URL",,
Account,Conta,
"Account ${0} does not exist.","Conta ${0} não existe.",
"Account Deleted",,
"Account Entries","Registros de Conta",
"Account Name","Nome da conta",
"Account Type","Tipo de conta",
"Account archived and bank institution disconnected from Plaid.",,
"Account archived.",,
"Account archived. Other accounts at this bank may keep syncing.",,
"Account deleted and bank institution disconnected from Plaid.",,
"Account deleted.",,
"Account deleted. Other accounts at this bank may keep syncing.",,
"Account name",,
"Account not found.",,
Accounting,Financeiro,
"Accounting Entries","Lançamentos financeiros",
"Accounting Ledger Entry","Entrada no livro diário",
